Country,Year,65-69 years,70-74 years,85+ years,80-84 years,75-79 years,60-64 years,45-49 years,55-59 years,15-19  years,10-14 years,5-9 years,30-34 years,35-39 years,<1 year,50-54 years,20-24 years,40-44 years,1-4 years,25-29 years
Portugal,2000,6705,10410,33063,18567,14923,4412,1638,3011,314.4,115.5,109.1,741.6,888.9,578,2150,471,1167,174.3,561.4
Greece,2000,6195,10415,35782,19926,14684,4093,1153,2713,236.4,67.33,62.99,356.6,493.7,531.6,1809,358.8,704.8,70.46,348.2
Benin,2000,9238,11297,10429,9978,11485,7584,3411,5766,673.5,870.2,1839,1717,2150,8768,4517,977.7,2715,5274,1311
Kiribati,2000,10866,10429,3788,6056,8742,10807,6771,9964,1056,443,689.9,2584,3558,5333,8426,1698,4970,1779,2038
South Sudan,2000,8692,10759,10434,9756,11132,7030,3012,5257,703,949.8,2213,1580,1937,10787,4062,1028,2391,7004,1275
Lao People's Democratic Republic,2000,10449,11904,9296,9852,11603,8874,3659,6809,776.3,811.6,1357,1467,1903,8041,5210,1062,2695,3002,1229
Russian Federation,2000,10456,11578,13383,11461,11622,8845,4653,7569,764.6,225.3,229.9,2054,2596,1473,6012,1543,3464,291.7,1780
Armenia,2000,10457,13295,22559,15425,14371,6767,1921,4602,224.7,86.02,95.5,635.6,863.3,3110,3259,315,1199,396.7,418.3
Uruguay,2000,8297,10457,30952,15857,13463,5978,1947,4370,328.5,103.9,99.28,587,812.9,1419,2970,498.7,1165,229.9,463.2
Pakistan,2000,10460,12201,10506,10826,12317,8625,3388,6476,671.3,420.9,575.1,1379,1782,8553,4890,971.1,2504,2304,1148
Togo,2000,9004,10577,9196,8994,10478,7710,4412,6252,753,692.5,1556,2747,3332,7449,5345,1277,3896,4356,1972
Cuba,2000,7497,10481,35138,15737,13129,5238,1678,3661,262.8,142.3,132.7,599.1,740.4,635.4,2691,416.5,1186,180.5,455.5
Equatorial Guinea,2000,9217,10675,8792,8950,10488,7846,3802,6174,725.7,843.3,1759,1999,2466,10704,5000,1120,3090,4815,1534
Ukraine,2000,10517,12273,14980,13097,13041,8611,4070,6870,450.8,178,192.3,1575,2148,1542,5299,839.1,2954,264.5,1099
Tajikistan,2000,10541,13347,16360,14446,12475,7714,2269,4923,378.6,207.4,230.6,1041,1212,6655,3501,618.4,1624,1620,837.7
Afghanistan,2000,10553,11003,6123,7573,9950,9651,4642,8017,1013,320.8,540.6,1988,2547,9104,6362,1545,3473,3865,1729
Haiti,2000,9078,10576,9527,9359,10648,7767,4664,6277,693.3,690.4,1119,2803,3542,7474,5420,1227,4129,2950,2057
India,2000,10580,13290,10761,12776,14620,7348,2674,5663,788.2,509.7,827.3,1384,1624,6670,3762,1081,1891,2486,1264
Gabon,2000,9794,10755,8896,8978,10583,8627,4936,7180,710.3,747.6,839.2,2703,3327,5491,6076,1294,4089,2994,1979
Jamaica,2000,8073,10608,32326,13875,13027,5837,1866,3914,271.6,191.6,174.6,979.3,1179,1826,2753,519,1460,326.5,793.4
Netherlands,2000,7214,10629,35113,18623,14783,4560,1262,3019,193.5,68.08,64.71,296,442.3,515.7,1856,245.6,770.1,111.6,232.7
Samoa,2000,10632,12668,16376,13236,13977,8615,3307,6482,505.2,207.5,237.1,1201,1610,1856,4690,807.4,2319,306.5,966.9
Singapore,2000,8048,10634,34907,17721,15305,5048,1077,2860,134.7,79.47,59.93,315.7,485.6,398.2,1681,250.8,684.5,91.22,219.8
Saudi Arabia,2000,10659,13525,18213,14888,15364,7931,2454,5528,394.7,178.6,206.8,761.5,1066,1943,3766,551.7,1618,323.7,627.5
Mauritius,2000,10680,12917,20039,14394,14203,8481,2592,5766,281,157.3,120.9,690,1100,1647,3958,393.4,1777,220,583.7
Lithuania,2000,8475,10687,25064,15601,12732,6625,3206,5404,435.8,129.2,130.3,1170,1399,839,4206,757.8,2025,270.1,844.4
Liberia,2000,8943,10707,9264,9314,10732,7414,3431,5674,730.3,886.4,1430,1824,2246,11960,4531,1054,2777,5651,1430
Venezuela (Bolivarian Republic of),2000,7277,10715,32338,15364,12863,5081,1916,3319,656.4,204.3,177.5,946.9,1048,1829,2597,1018,1362,319.8,967.5
Honduras,2000,8087,10721,26049,13549,13097,6231,2544,4537,505.9,225.8,338.2,1316,1631,2938,3351,977.6,2075,679.1,1147
Vanuatu,2000,11496,12663,9338,10725,12521,9967,4658,7982,692,254.1,312.9,1822,2451,2405,6198,1164,3433,473.7,1444
Fiji,2000,12849,14741,9473,11135,13421,10731,3684,7701,539.2,374.7,409.3,1043,1567,1974,6019,797.5,2304,343.2,892
Gambia,2000,9713,11595,11454,10764,11868,7978,3389,5988,634.6,710,1254,1634,2062,6320,4637,961,2696,5080,1261
Guinea-Bissau,2000,9385,9759,5303,6525,8669,8652,4756,7395,955.9,479.1,2031,2323,2956,10779,6164,1370,3834,6872,1793
Djibouti,2000,9629,11628,11605,10786,11982,7887,3553,5993,663.2,693.6,1299,1917,2346,7647,4748,1061,2905,2181,1476
Brazil,2000,8372,10796,26178,15694,13585,5992,2235,4338,518.9,175.2,149,962.4,1218,2946,3125,783.3,1667,436.1,830.6
Argentina,2000,8185,10879,29988,15692,13766,6002,1934,4244,368,141.5,125.7,659.8,829.3,1676,2917,502.5,1258,262.5,569.8
Latvia,2000,9612,10896,21084,14493,13110,7521,3278,5952,396.3,162.2,187.7,1169,1600,1266,4831,783.3,2477,281.1,900.6
Malaysia,2000,10924,13813,19990,15153,17312,7354,1875,4917,402.7,177.5,154.5,714.8,912.5,818,2972,516.5,1279,142.6,571
Suriname,2000,9853,10971,23442,13460,12489,7341,2999,5084,484.5,209.8,188.8,1366,1468,2752,3579,820.6,2169,379.3,944.2
France,2000,5999,8431,43221,15688,11851,4170,1620,2997,239.7,79.3,63.11,452.9,658.7,449.2,2216,342.6,1061,100.2,360.6
Switzerland,2000,5702,8332,43238,18035,12568,3812,1002,2610,191.8,84.64,56.17,332.8,465.2,490.3,1624,332,678.4,89,356.3
Nepal,2000,9575,12553,16615,13538,13974,7278,2442,5052,514.1,415.9,829.3,1006,1284,5865,3632,708.8,1769,2101,845.7
Republic of Korea,2000,7259,11110,30550,18667,14851,5282,1711,3818,229.2,101.7,123.6,489.6,752.8,723.4,2373,315.7,1170,105.3,366.5
Bosnia and Herzegovina,2000,9298,13717,26875,14680,16839,6529,1571,4168,182.1,83.77,82.04,404.7,582.3,774.7,2527,231.8,1012,121.7,320.5
Uzbekistan,2000,12045,13822,12865,12565,13411,8859,2654,6225,401.1,233.1,258.8,1115,1280,5439,4392,682.4,1832,1012,908.9
Philippines,2000,9289,12720,18743,15929,14106,7535,2398,5059,387.6,257.4,289.1,1015,1331,2869,3961,639.6,1756,909.6,805.9
Bolivia (Plurinational State of),2000,9503,12467,17543,13808,13895,7247,2406,4999,505.6,299.3,443.7,1016,1276,5650,3592,713.8,1771,2011,852.9
Estonia,2000,9222,11792,22091,14158,12929,7352,3686,5991,337.9,151.5,155.8,1017,1482,894.3,4495,695.4,2561,243.1,746.3
Oman,2000,14021,16472,13204,11851,14656,9406,2472,6690,511.7,154.4,167.2,829,1017,1433,3879,768.8,1507,240.5,720.9
Italy,2000,6097,9358,40582,18482,13338,3935,1018,2541,205.2,76.76,62.5,345.4,478,455.3,1663,296.5,668.5,76.84,320.6
Mexico,2000,7555,9436,35267,13623,11926,5784,1864,3953,351.8,167,150.6,769.8,1023,2388,2779,521.3,1342,459.1,639.5
Republic of Moldova,2000,11749,13103,11888,12724,14991,9444,3568,7410,348.1,195.7,217.9,1023,1568,2696,4952,530.3,2270,589.9,732.6
Costa Rica,2000,6184,9517,40353,16468,12994,4177,1285,2643,312.2,125.8,91.86,503.5,617.8,1025,1647,415.8,950.6,177.6,511
Jordan,2000,9697,13251,23394,15346,16583,6967,1576,4163,276.7,205.8,247.4,509.7,702,2286,2525,383.9,1027,438.2,422.3
Australia,2000,5905,9082,43146,17003,12890,3637,972.6,2374,270.5,76.35,64.99,446.8,543.1,511.7,1476,367.2,708.3,103.3,421.6
New Zealand,2000,6837,9702,39585,16715,13398,4270,1140,2830,304.2,103.3,87.24,456.8,489.5,627,1728,373.5,751.3,154.4,446.7
Norway,2000,6383,9898,37819,18738,14048,4095,1095,2718,278.5,58.82,67.9,439.2,573.3,379.8,1798,359.4,755.1,103.7,392.1
Chile,2000,6996,9850,34932,17896,13777,4931,1364,3399,257.5,107.4,103.8,540.7,705.1,958.6,2213,371.8,966.4,161.8,467.1
Malawi,2000,6280,6505,4042,4423,5760,6181,6867,6119,1032,657,1407,6140,7085,9996,6537,2279,7097,7229,4363
Kyrgyzstan,2000,11031,12046,14956,12861,12479,8499,3363,7090,363.5,212.2,227,1372,1841,4186,4553,725.6,2422,740.1,1035
Bahrain,2000,15282,17458,8267,14869,20602,9252,1597,4910,284.5,138.3,178.9,584.8,672.5,1100,2714,431,1038,162.8,458.8
Cabo Verde,2000,8168,11201,27510,13943,13199,5015,2476,3782,426.9,211.3,229.8,1342,1741,3305,3014,683,2010,702,1039
Spain,2000,5922,8839,41311,17550,13151,3958,1239,2636,228.8,84.74,77.43,444.9,628,448.8,1835,307.9,890.4,104.4,344.3
Bhutan,2000,9239,12339,17722,13934,14077,6900,2321,4727,576,356.2,897.4,1041,1294,5849,3395,747.1,1711,1978,894.3
Timor-Leste,2000,8884,11700,16694,13165,13131,6774,2325,4688,539.3,549,967.8,1044,1289,9078,3412,770.6,1735,2354,901.4
Sweden,2000,6090,9326,40735,18499,13686,3999,1048,2534,176.7,66.73,48.46,258.3,406.6,344,1624,253.6,606.9,49.16,246.8
Japan,2000,5455,7915,48195,15927,11237,3559,1050,2453,156.7,54.92,60.11,315,429.4,316.6,1636,237,647.5,121,236.5
Congo,2000,8865,8990,5311,6216,8121,8419,6401,7584,1054,574.9,1114,3818,4895,7307,6985,1716,5742,4150,2738
Indonesia,2000,9848,12689,17035,14244,14215,7579,2587,5267,516.7,334.6,564.2,1060,1342,4260,3807,761.2,1892,1113,886.2
Zimbabwe,2000,5456,5502,4258,4186,5245,5557,8068,6047,1065,544.3,796,8839,9333,5214,7098,3328,8703,4216,6544
Bangladesh,2000,9147,11142,17865,15388,13093,7837,2262,4660,539.6,379.9,627.9,769.4,1066,6334,3725,604.8,1577,2314,667.6
Ecuador,2000,6321,9241,36676,15251,12005,4507,1665,3111,508.7,253.2,240.9,885.4,1068,2371,2528,781,1311,476.3,800.8
Iran (Islamic Republic of),2000,8129,11315,25868,17177,15719,5713,1558,3820,574.4,258.9,277.9,666,786.1,2752,2476,605.7,1070,621.2,613.5
Brunei Darussalam,2000,11916,19024,17589,13295,17705,6814,1365,4629,350.5,166.6,174,520.5,750.3,907.8,2601,448.1,1077,230.3,436.6
Georgia,2000,11057,16136,17687,15540,12751,7373,2344,5273,250.8,108.4,113.8,914.2,1300,3174,2653,450.8,1669,555.1,650.8
Malta,2000,7568,11869,32692,19374,16268,4319,1080,2614,184.6,72.88,54.7,251.9,383,576,1542,227.9,512.7,120.6,290.1
Libya,2000,8310,11273,33362,11708,14603,5820,1626,3567,377.9,209.4,267.5,674.9,905.4,2375,2421,479.9,1086,396.2,537.9
Canada,2000,6547,9577,40977,16614,13147,4327,1089,2783,249.1,79.98,62.41,357.6,491.1,541.4,1742,316,729,81.26,290.6
Morocco,2000,9679,12525,21047,14466,14886,7109,1987,4427,420.4,201.3,347.8,863.6,1089,4413,2925,629.4,1479,774,731.3
Saint Lucia,2000,7269,11608,28985,15891,12608,6204,2462,4330,341.9,171.8,191.1,877.1,1089,1531,3054,607.3,1687,289.7,803.4
Finland,2000,6614,9836,35734,18373,14010,4502,1602,3093,250.4,74.06,56.52,502.3,681.4,358.8,2362,393.6,1092,70.91,394.7
Antigua and Barbuda,2000,7909,11324,29243,15727,15286,5743,1607,4393,435.5,154.7,131.1,620.7,878.6,1352,2842,580.6,1094,229.7,449.6
Senegal,2000,9299,11586,12248,11025,12095,7421,2969,5421,601.8,959.7,1889,1383,1755,6823,4131,849.6,2295,6151,1099
Mongolia,2000,12859,13071,5406,8645,11772,11057,4902,8456,453.7,279.6,335.9,1706,2201,4829,7053,876.3,3301,1563,1234
Serbia,2000,11069,14494,16125,16219,17015,7670,2374,5567,300.8,153.8,120.6,620.4,879,1100,3726,463.8,1413,225.2,464.5
Central African Republic,2000,7215,6381,2129,3158,4931,7834,7791,7992,1297,636.6,1271,4972,6482,11073,7934,2132,7172,5962,3640
United Kingdom of Great Britain and Northern Ireland,2000,7469,11132,34812,17363,15031,4831,1223,3035,200.5,67.82,55.6,376.2,503.8,550.5,1897,278.9,765.9,90.77,317.5
Micronesia (Federated States of),2000,11137,11996,7951,9846,11769,9854,5000,8055,693.8,375.1,538.1,1949,2661,4084,6443,1223,3648,1247,1530
Türkiye,2000,8296,11147,35054,12356,12689,5443,1526,3843,266.8,225.6,502.9,421.4,614.3,3030,2241,311.3,939.7,724.2,367.6
Slovenia,2000,8162,11169,31275,16958,14017,5670,1983,3980,264.7,78.72,76.86,457.7,734.3,432.6,2747,399.4,1147,93.53,353.8
Qatar,2000,13880,16846,11352,16858,19076,8112,1331,4656,562.7,149.5,138.6,510.6,580.9,1103,2805,584.1,773.6,172.5,508.8
Mozambique,2000,8223,9523,7345,7495,9175,7180,4428,5997,939.4,936.1,1907,3042,3393,11425,5274,1730,3812,5746,2432
Turkmenistan,2000,11572,12282,13248,11432,12137,8885,3120,6472,544.1,261.2,301.2,1279,1701,6773,4597,920.2,2051,1241,1183
Grenada,2000,11467,15380,19673,15027,15716,6469,2423,3846,331.8,166.1,208.8,835.3,1372,1150,2862,471.9,1786,258.5,556.9
Seychelles,2000,8727,11589,23513,14835,14047,7348,2660,5518,326.5,148.8,171,938.2,1457,1279,3943,492.3,2047,194.5,766
Denmark,2000,8477,11618,32366,16632,14928,5379,1545,3587,229.5,67.16,46.14,336.5,530.8,501.3,2200,277,925.3,75.97,278.6
Tunisia,2000,8187,11646,28287,17965,15105,5276,1402,3379,284.8,198.1,232.9,584.5,671.5,2482,2009,389.8,964,503.3,434.6
Nicaragua,2000,7948,11676,26994,17783,15586,5363,1419,3402,282.1,258.8,294.6,501,664.2,3176,2224,353.2,946.6,716.6,411.3
Belize,2000,9137,11722,22856,13686,13313,7608,2567,5085,558.9,227.5,225.5,1387,1666,1903,3900,995,1695,332.6,1136
Paraguay,2000,6917,9863,37007,13826,11727,5158,1674,3342,392.3,258.8,252.1,665.7,866.9,2682,2527,507.4,1166,582.1,584.9
Azerbaijan,2000,11729,14157,14576,12619,13825,8255,2371,5414,349,215.2,297.6,749.3,982.3,6701,3830,495.5,1487,1337,610.4
The former Yugoslav Republic of Macedonia,2000,11758,15609,12868,16866,18733,7982,2154,5009,240.2,117.8,120.4,461.9,752.3,1497,3595,409.2,1291,169.5,365.9
Bahamas,2000,8645,9840,26187,14273,11796,6056,3047,4905,413.5,179,242,1718,2177,1456,3946,808.5,2686,234.1,1391
Iraq,2000,9903,11797,21152,13059,13052,7788,2865,5370,496.7,234.1,344.3,993.2,1271,3472,4106,763,1645,869.3,820.3
Poland,2000,9127,11862,25229,16080,14659,6792,2450,4944,257.2,92.22,84.02,592.4,948.6,790.2,3563,384.7,1586,123.9,434.1
El Salvador,2000,5955,8577,34818,14979,11882,4394,1997,3531,637.1,202.7,162.5,1324,1525,2709,2609,1158,1732,564.4,1242
Saint Vincent and the Grenadines,2000,9094,11952,20944,15341,15625,6152,2706,5195,342.2,179.9,196,1270,1558,1939,3515,695.9,1989,314.9,991.1
Slovakia,2000,9932,12873,22163,16332,15601,7358,2307,4962,227.1,110.9,99.58,513.7,784.8,848.5,3616,338.7,1375,154.5,403.6
Thailand,2000,7399,9744,28504,14400,12383,5437,2495,3964,677.3,268.8,308.1,2056,1998,1895,3152,1105,2120,324.2,1771
Yemen,2000,9922,12508,13732,12356,13373,7818,2769,5607,567.7,392.3,680.6,1105,1425,7340,4093,787,2011,2581,930.8
Guatemala,2000,7286,9792,22064,14900,12393,5747,3003,4562,729.1,289.3,330.6,1844,2369,4159,3956,1237,2679,1119,1542
Czechia,2000,9122,12208,25917,17427,15821,6339,1910,4372,250.4,87.74,84.15,416.7,614.1,562,2981,339,1124,96.03,329.6
Sao Tome and Principe,2000,9794,12328,14626,12895,13364,7663,2699,5414,538.5,597.9,922.8,1124,1429,5821,3951,786.7,1993,3111,942.1
Sudan,2000,9432,12180,14915,12594,13330,7248,2555,5100,587.1,453.6,1143,1132,1418,6785,3715,825.7,1886,3740,961.5
Ethiopia,2000,8758,9239,5488,6667,8493,8020,5180,6895,1208,1135,2511,3294,3957,8573,6070,1998,4558,5344,2612
Sierra Leone,2000,8420,9959,7597,8029,9713,7062,3120,5432,823.2,940.3,2435,1596,1936,14762,4246,1136,2426,9021,1347
Croatia,2000,9471,12646,23907,16993,16604,6317,2038,4898,265,96.63,99.5,467.2,676.5,606.8,2859,385.9,1155,114.1,400.5
Mauritania,2000,9456,12029,14406,12560,13023,7412,2647,5262,554.1,317.9,833,1142,1439,6951,3868,792.3,1970,4370,966.7
Romania,2000,9516,12539,20044,16075,15444,7168,2814,5451,304.5,291.8,222.4,654.2,1156,1477,3782,354.9,1888,362.8,455.7
Sri Lanka,2000,8765,12324,25685,15288,12854,5844,2375,4163,699.1,219,226.3,1173,1360,1465,3215,1227,1654,239.8,1224
Zambia,2000,6306,6076,3227,3818,5197,6491,7414,6586,1185,570.1,1313,6536,7400,9156,7016,2812,7515,6300,5082
Peru,2000,6196,8949,37774,14443,12079,4504,1647,3044,384.6,251.7,323.5,786.5,966.5,3004,2295,573,1197,902.2,679.7
Colombia,2000,6840,9949,33616,15083,12581,4798,1678,3096,856.8,187,156.9,1198,1235,2176,2156,1287,1417,382.9,1307
Lebanon,2000,8368,12035,27243,18046,15850,5613,1478,3525,285.5,171.8,192.8,481.7,653.2,1766,2304,365.5,939,288,395.4
Hungary,2000,9980,12192,20264,14431,14565,7908,3512,6024,215.5,98.88,86.75,671.9,1266,977.5,4622,319.5,2347,145.7,374.3
Panama,2000,5708,8409,41349,15721,12242,4045,1211,2533,355.7,192,202.3,784.2,794.8,2137,1808,524,973.9,411.5,598.6
Montenegro,2000,9107,12331,24899,16036,15545,6540,2060,4524,325.2,96.8,97.31,659.3,908,1285,3093,445.7,1363,163.2,520.4
Ireland,2000,7935,12376,29228,18921,16244,4985,1226,3219,309.8,72.4,70.84,440.3,554.3,627,2045,425.6,860.7,84.28,376.5
Viet Nam,2000,9099,12389,22314,16594,15251,6551,2037,4464,377.2,218.4,385.9,631.3,879.4,2789,3073,481.2,1324,626.1,516.7
Angola,2000,9072,9951,6089,7138,9168,7978,3899,6581,930.2,988.5,2440,1804,2238,12451,5324,1290,2970,8174,1515
Kuwait,2000,6963,9962,38792,15257,12623,5504,1356,3467,265.8,135.1,139.4,405,495.1,940,2108,356.6,750.2,161.4,317.9
Egypt,2000,9596,12703,22564,13433,12766,7935,2577,5475,381.7,262.3,294.3,583.9,931.3,3523,3738,432.5,1394,952.2,458.5
United Arab Emirates,2000,9750,12868,23589,15578,15171,7144,2084,4984,322.4,124.7,125.2,654.3,869.2,999.6,3239,483.1,1319,142.5,552.5
Iceland,2000,5871,9269,41580,18825,12912,3819,887.8,2721,228,59.2,89.93,295.4,329.8,275.7,1472,344.9,616.5,95.29,308.5
Lesotho,2000,6426,6284,4370,4580,5839,6729,7565,6996,1202,487.2,669.9,7059,7547,7564,7507,2946,7656,3168,5406
United Republic of Tanzania,2000,7456,8755,8490,7637,8846,6577,5546,5775,705.3,478.8,1208,4350,5202,8290,5663,1492,5406,5058,3066
Uganda,2000,7144,7645,5661,5761,7081,6771,7001,6353,1209,660.1,1296,4554,5993,8940,6615,1639,6919,5887,2870
Syrian Arab Republic,2000,9913,13965,19670,15254,16880,7682,1860,4749,412.8,249.7,344.7,592.4,790.4,1847,3332,400,1257,346.7,457
Albania,2000,8683,13284,25491,17640,17768,4996,1260,2622,346.8,168.7,209.9,486.5,621.3,2425,1654,559.4,890.9,317.8,573.6
Austria,2000,6617,9578,38276,17548,13544,4279,1343,3129,288,74.54,64.36,343.9,501.3,478.8,2256,348.9,892.4,90.44,346.1
China,2000,8942,13820,20656,17595,16318,5995,1926,4008,317.7,171.8,231,716.3,930.8,2520,2865,443.3,1329,698.3,515.5
Côte d’Ivoire,2000,7980,8670,5837,6291,7974,7413,6089,6648,841.9,870.7,1307,4110,5207,9565,6351,1546,5801,4683,2816
Botswana,2000,5512,5062,2672,3161,4276,5854,8719,6501,1393,403.2,785.3,9758,9794,3376,7659,4273,9116,3713,7972
Kenya,2000,7032,8221,9035,7586,8589,6245,6673,5783,623.1,536.1,953.7,5030,6477,5753,6063,1484,6814,3895,3208
Eswatini,2000,6648,6614,3736,4529,5927,6666,7174,6877,1552,348.4,794.7,6850,6869,7047,7189,3940,6932,4258,6048
Burkina Faso,2000,8351,9918,8040,8206,9799,7126,4319,5739,763,762.8,2071,2312,3098,9307,4984,992.2,3800,8848,1563
Namibia,2000,7961,8376,6231,6656,8045,7500,6791,7043,981.9,494.6,764.4,5572,6300,4491,7010,2255,6621,3022,3884
